SubmissionDate,SET-OF-generic-t_grupposegnale,meta-instanceID,KEY
"",uuid:9df6be5f-a248-45e0-a937-da08e9054152/t_grupposegnale,uuid:9df6be5f-a248-45e0-a937-da08e9054152,uuid:9df6be5f-a248-45e0-a937-da08e9054152
"",uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834/t_grupposegnale,uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834,uuid:8c5f3394-fccd-4cff-81f4-c1a00c820834
"",uuid:31d80d51-bf09-4f22-9649-96f389609bae/t_grupposegnale,uuid:31d80d51-bf09-4f22-9649-96f389609bae,uuid:31d80d51-bf09-4f22-9649-96f389609bae
"",uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0/t_grupposegnale,uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0,uuid:d99fcf10-58c3-43fb-86cb-3d970c6cc2a0
"",uuid:04a2cc76-9ba1-4c15-9913-da3254c826f5/t_grupposegnale,uuid:04a2cc76-9ba1-4c15-9913-da3254c826f5,uuid:04a2cc76-9ba1-4c15-9913-da3254c826f5
"",uuid:dc3875f5-94a5-4865-9f48-0d5506352666/t_grupposegnale,uuid:dc3875f5-94a5-4865-9f48-0d5506352666,uuid:dc3875f5-94a5-4865-9f48-0d5506352666
"",uuid:f572f493-4af8-4e89-844c-49db59c801ad/t_grupposegnale,uuid:f572f493-4af8-4e89-844c-49db59c801ad,uuid:f572f493-4af8-4e89-844c-49db59c801ad
"",uuid:3afc3665-6967-46e4-b91b-36e53229d34a/t_grupposegnale,uuid:3afc3665-6967-46e4-b91b-36e53229d34a,uuid:3afc3665-6967-46e4-b91b-36e53229d34a
"",uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a/t_grupposegnale,uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a,uuid:0aae8bc2-9d03-4d38-9838-701e51d0412a
"",uuid:908300cd-8683-4f42-a3c0-a218591ccae0/t_grupposegnale,uuid:908300cd-8683-4f42-a3c0-a218591ccae0,uuid:908300cd-8683-4f42-a3c0-a218591ccae0
"",uuid:b9fc15fa-0307-44cf-b489-096758316aff/t_grupposegnale,uuid:b9fc15fa-0307-44cf-b489-096758316aff,uuid:b9fc15fa-0307-44cf-b489-096758316aff
"",uuid:43a4b047-03dd-495f-9052-8432b89ba546/t_grupposegnale,uuid:43a4b047-03dd-495f-9052-8432b89ba546,uuid:43a4b047-03dd-495f-9052-8432b89ba546
"",uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5/t_grupposegnale,uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5,uuid:fec06236-f7a8-4bb9-99ce-1504d22e02b5
"",uuid:76902e27-d86b-410a-8673-391551ab3217/t_grupposegnale,uuid:76902e27-d86b-410a-8673-391551ab3217,uuid:76902e27-d86b-410a-8673-391551ab3217
"",uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8/t_grupposegnale,uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8,uuid:7a454ff3-b452-4eb4-ab34-f8a68f0ce6a8
"",uuid:9abf6292-edcf-4978-b7ce-4b2f133ff0c3/t_grupposegnale,uuid:9abf6292-edcf-4978-b7ce-4b2f133ff0c3,uuid:9abf6292-edcf-4978-b7ce-4b2f133ff0c3
"",uuid:d494e09f-69d3-4d91-b98f-4db17a0b8652/t_grupposegnale,uuid:d494e09f-69d3-4d91-b98f-4db17a0b8652,uuid:d494e09f-69d3-4d91-b98f-4db17a0b8652
"",uuid:6bbf2f9c-b0f5-4853-8238-224623349e7d/t_grupposegnale,uuid:6bbf2f9c-b0f5-4853-8238-224623349e7d,uuid:6bbf2f9c-b0f5-4853-8238-224623349e7d
"",uuid:de7f606b-5abd-468b-a39d-e0ccc2bcd61f/t_grupposegnale,uuid:de7f606b-5abd-468b-a39d-e0ccc2bcd61f,uuid:de7f606b-5abd-468b-a39d-e0ccc2bcd61f
"",uuid:b5e14493-33b9-433b-9d21-1ce4ee8737f6/t_grupposegnale,uuid:b5e14493-33b9-433b-9d21-1ce4ee8737f6,uuid:b5e14493-33b9-433b-9d21-1ce4ee8737f6
"",uuid:82bc88c4-b201-4335-878f-36022fde946c/t_grupposegnale,uuid:82bc88c4-b201-4335-878f-36022fde946c,uuid:82bc88c4-b201-4335-878f-36022fde946c
"",uuid:ff34f913-9553-4a75-909e-ffa0fcd38a03/t_grupposegnale,uuid:ff34f913-9553-4a75-909e-ffa0fcd38a03,uuid:ff34f913-9553-4a75-909e-ffa0fcd38a03
"",uuid:8719ca25-5fc6-4615-8c45-71de5035fc8f/t_grupposegnale,uuid:8719ca25-5fc6-4615-8c45-71de5035fc8f,uuid:8719ca25-5fc6-4615-8c45-71de5035fc8f
"",uuid:3e95885f-5358-44f3-8451-4b5b13909cc0/t_grupposegnale,uuid:3e95885f-5358-44f3-8451-4b5b13909cc0,uuid:3e95885f-5358-44f3-8451-4b5b13909cc0
"",uuid:7b7c6640-c511-4a44-bf24-c3648de99ccf/t_grupposegnale,uuid:7b7c6640-c511-4a44-bf24-c3648de99ccf,uuid:7b7c6640-c511-4a44-bf24-c3648de99ccf
"",uuid:41dd4775-583f-4664-ba1a-4f0dba622472/t_grupposegnale,uuid:41dd4775-583f-4664-ba1a-4f0dba622472,uuid:41dd4775-583f-4664-ba1a-4f0dba622472
"",uuid:c174727a-b399-4c03-b64a-b98f00441665/t_grupposegnale,uuid:c174727a-b399-4c03-b64a-b98f00441665,uuid:c174727a-b399-4c03-b64a-b98f00441665
"",uuid:7ddb5c84-a4af-4da1-b121-7e371fa24ff7/t_grupposegnale,uuid:7ddb5c84-a4af-4da1-b121-7e371fa24ff7,uuid:7ddb5c84-a4af-4da1-b121-7e371fa24ff7
"",uuid:7c8a8fb6-bcf7-4804-b46a-18fd4f6166a3/t_grupposegnale,uuid:7c8a8fb6-bcf7-4804-b46a-18fd4f6166a3,uuid:7c8a8fb6-bcf7-4804-b46a-18fd4f6166a3
"",uuid:234f4ba3-dda9-41d3-87a4-12753cb618d8/t_grupposegnale,uuid:234f4ba3-dda9-41d3-87a4-12753cb618d8,uuid:234f4ba3-dda9-41d3-87a4-12753cb618d8
"",uuid:2db54bbb-4a6a-4764-a0b2-359272109878/t_grupposegnale,uuid:2db54bbb-4a6a-4764-a0b2-359272109878,uuid:2db54bbb-4a6a-4764-a0b2-359272109878
